user_id,topic,source,weight,added_at
1,Productivity,onboarding,1.0,2026-07-14 15:00:19
1,C Programming,onboarding,1.0,2026-07-14 15:00:19
1,Web Development,onboarding,1.0,2026-07-14 15:00:19
1,NEET Exam,onboarding,1.0,2026-07-14 15:00:19
2,Calculus,onboarding,1.0,2026-07-14 15:00:19
2,Graphic Design,onboarding,1.0,2026-07-14 15:00:19
3,Automobiles & EVs,onboarding,1.0,2026-07-14 15:00:19
3,Electronics & Circuits,onboarding,1.0,2026-07-14 15:00:19
3,NEET Exam,onboarding,1.0,2026-07-14 15:00:19
4,Java Programming,onboarding,1.0,2026-07-14 15:00:19
4,Football (Soccer),onboarding,1.0,2026-07-14 15:00:19
4,NEET Exam,onboarding,1.0,2026-07-14 15:00:19
4,International Law,onboarding,1.0,2026-07-14 15:00:19
4,Discrete Mathematics,onboarding,1.0,2026-07-14 15:00:19
5,Mental Health,onboarding,1.0,2026-07-14 15:00:19
5,Strategic Management,onboarding,1.0,2026-07-14 15:00:19
5,Mobile App Development,onboarding,1.0,2026-07-14 15:00:19
5,Web Development,onboarding,1.0,2026-07-14 15:00:19
6,Discrete Mathematics,onboarding,1.0,2026-07-14 15:00:19
6,Soil Mechanics,onboarding,1.0,2026-07-14 15:00:19
6,Architecture,onboarding,1.0,2026-07-14 15:00:19
6,Modern English Fiction,onboarding,1.0,2026-07-14 15:00:19
6,Skincare & Grooming,onboarding,1.0,2026-07-14 15:00:19
7,Web Development,onboarding,1.0,2026-07-14 15:00:19
7,Linguistics,onboarding,1.0,2026-07-14 15:00:19
7,Fluid Mechanics,onboarding,1.0,2026-07-14 15:00:19
8,Photography,onboarding,1.0,2026-07-14 15:00:19
8,Cultural Tourism,onboarding,1.0,2026-07-14 15:00:19
8,Cinema Studies,onboarding,1.0,2026-07-14 15:00:19
8,International Law,onboarding,1.0,2026-07-14 15:00:19
9,Microeconomics,onboarding,1.0,2026-07-14 15:00:19
9,Automobiles & EVs,onboarding,1.0,2026-07-14 15:00:19
10,Freelancing,onboarding,1.0,2026-07-14 15:00:19
10,Mental Health,onboarding,1.0,2026-07-14 15:00:19
10,Calculus,onboarding,1.0,2026-07-14 15:00:19
10,DBMS,onboarding,1.0,2026-07-14 15:00:19
10,Mechanical Engineering,onboarding,1.0,2026-07-14 15:00:19
11,Cinema Studies,onboarding,1.0,2026-07-14 15:00:19
11,Strategic Management,onboarding,1.0,2026-07-14 15:00:19
12,Environmental Science,onboarding,1.0,2026-07-14 15:00:19
12,Calculus,onboarding,1.0,2026-07-14 15:00:19
