user_id,content_id,topic,is_interest_match,creator_followed,difficulty_gap,dwell_ratio_actual,actual_dwell_sec,did_quiz,quiz_correct,upvote,downvote,engagement_score,card_flipped,flip_time_sec
1,3191,Structural Engineering,0,0,0.236,1.112,7.19,0,0,0,0,0.148,0,0.0
1,8248,Structural Engineering,0,0,-0.002,0.169,2.28,0,0,0,0,0.022,0,0.0
1,4520,Structural Engineering,0,0,0.108,0.936,13.3,0,0,1,0,0.425,0,0.0
1,4978,Agronomy,1,0,-0.026,0.891,5.02,0,0,1,0,0.619,0,0.0
1,6705,Moral Science,0,1,0.111,0.164,1.0,0,0,0,1,0.022,0,0.0
1,6192,Cell Biology,0,0,0.451,0.161,1.0,0,0,0,0,0.021,0,0.0
1,5766,Machine Learning,0,1,0.66,0.676,11.29,1,0,0,0,0.09,0,0.0
1,8430,Moral Science,0,1,0.203,0.494,6.79,1,1,0,0,0.366,0,0.0
1,3040,Linguistics,0,0,0.481,0.78,4.95,0,0,0,0,0.104,0,0.0
1,8581,Climatology,0,0,0.146,0.254,3.57,1,0,0,0,0.034,0,0.0
1,8877,Linguistics,0,0,0.02,0.389,1.93,0,0,0,0,0.052,0,0.0
1,3984,Adventure Tourism,0,0,0.278,0.239,3.71,0,0,0,1,0.032,0,0.0
1,187,Agronomy,1,0,0.576,1.37,23.29,1,0,0,0,0.383,0,0.0
1,3429,Strategic Management,0,0,0.151,0.136,2.02,0,0,0,1,0.018,0,0.0
1,7759,Classical Mechanics,0,0,0.221,0.182,1.0,0,0,0,0,0.024,0,0.0
1,6755,Philosophy,0,0,0.039,0.1,1.0,0,0,0,0,0.013,0,0.0
1,3389,Genetics,0,0,0.455,0.723,10.97,1,0,0,0,0.096,0,0.0
1,5070,Macroeconomics,1,0,0.285,0.853,4.25,0,0,0,0,0.314,1,2.14
1,2935,Hydrology,0,0,0.058,0.388,4.91,1,1,0,0,0.352,0,0.0
1,4372,Graphic Design,0,0,0.422,0.596,9.37,1,0,0,0,0.08,0,0.0
1,6935,Organic Chemistry,0,0,0.587,0.192,3.2,0,0,0,0,0.026,0,0.0
1,5988,Machine Learning,0,1,0.508,0.938,4.25,0,0,0,0,0.125,1,2.0
1,6860,HR Management,0,0,0.61,0.191,1.12,0,0,0,0,0.025,0,0.0
1,3970,Geopolitics,0,0,0.264,0.129,1.0,0,0,0,1,0.017,0,0.0
1,2752,Modern English Fiction,0,0,0.556,0.589,4.29,0,0,0,0,0.079,0,0.0
1,8174,HR Management,0,0,0.539,0.474,2.71,0,0,0,0,0.063,0,0.0
1,1576,History of Nepal,0,0,0.4,0.285,1.65,0,0,0,0,0.038,0,0.0
2,6504,Modern English Fiction,0,1,-0.045,0.16,2.25,0,0,0,1,0.021,0,0.0
2,1260,Calculus,0,0,-0.038,0.962,11.18,0,0,0,0,0.128,0,0.0
2,1057,History of Nepal,0,0,0.578,0.484,3.85,0,0,0,0,0.065,0,0.0
2,5661,Fluid Mechanics,0,0,0.06,0.299,4.01,1,1,0,0,0.34,0,0.0
2,8737,Cricket Analytics,0,0,0.07,1.044,14.41,1,1,1,0,0.739,0,0.0
2,6244,Archeology,0,0,0.238,0.207,2.84,1,1,0,0,0.328,0,0.0
2,6801,Human Anatomy,0,0,-0.001,1.27,18.22,1,1,1,0,0.769,0,0.0
2,330,Architectural History,0,1,0.429,0.109,1.68,0,0,0,0,0.014,0,0.0
2,2170,Corporate Finance,1,0,-0.162,0.42,1.98,0,0,0,0,0.256,0,0.0
2,9771,Architectural History,0,1,-0.069,0.522,2.91,0,0,0,0,0.07,0,0.0
2,3007,Cell Biology,0,0,-0.091,1.483,7.73,0,0,0,0,0.198,0,0.0
2,5841,Psychology,0,1,-0.082,1.161,5.0,0,0,0,0,0.155,1,2.0
2,7146,Climatology,0,0,0.259,0.724,4.62,0,0,0,0,0.096,0,0.0
2,2524,Nepalese Arts,0,0,0.091,0.401,5.98,1,0,0,0,0.053,0,0.0
2,4223,Calculus,0,0,0.435,0.469,2.84,0,0,0,0,0.063,0,0.0
2,2916,Cricket Analytics,0,0,0.527,0.137,2.62,1,0,0,0,0.018,0,0.0
2,9965,Geopolitics,0,1,0.37,0.271,1.9,0,0,0,0,0.036,0,0.0
2,5675,Environmental Science,0,0,0.594,0.1,1.0,0,0,0,1,0.013,0,0.0
2,1957,Hydrology,0,1,0.078,0.201,1.0,0,0,0,0,0.027,0,0.0
2,6190,Cultural Tourism,0,0,0.521,0.259,1.52,0,0,0,0,0.035,0,0.0
3,2073,Cinema Studies,0,1,0.389,1.142,5.72,0,0,0,0,0.152,1,3.08
3,873,Philosophy,0,0,0.846,1.169,17.62,1,0,0,0,0.156,0,0.0
3,7498,Macroeconomics,0,1,0.193,0.426,5.51,0,0,0,0,0.057,0,0.0
